reaction;J
'HMR_5395';0
'HMR_5396';0
'HMR_5397';0
'HMR_5398';0
'HMR_5399';0
'HMR_5400';0
'HMR_5401';0
'HMR_5423';1
'HMR_5435';0.0949448592268973
'HMR_5436';0
'HMR_5462';0
'HMR_5470';0
'HMR_5907';0
'HMR_6001';1
'HMR_6011';1
'HMR_6038';0
'HMR_6049';0
'HMR_6060';0
'HMR_6068';0
'HMR_6071';0
'HMR_6108';0
'HMR_6250';0
'HMR_6287';0
'HMR_6294';0
'HMR_6332';0
'HMR_6334';0
'HMR_6367';0
'HMR_6381';0
'HMR_6410';1
'HMR_6412';1
'HMR_6424';0
'HMR_6426';0
'HMR_6428';0
'HMR_6431';0
'HMR_6432';0
'HMR_6433';0
'HMR_6434';0
'HMR_6435';0
'HMR_6436';0
'HMR_6438';0
'HMR_6439';0
'HMR_6441';0
'HMR_6443';0
'HMR_6446';0
'HMR_6447';0
'HMR_6448';0
'HMR_6450';0
'HMR_6451';0
'HMR_6453';0
'HMR_6454';0
'HMR_6492';0
'HMR_6507';0
'HMR_6509';0
'HMR_6512';0
'HMR_6526';0
'HMR_6529';0
'HMR_6612';0
'HMR_6621';0
'HMR_6627';0
'HMR_6628';0
'HMR_6629';0
'HMR_6632';0
'HMR_6634';0
'HMR_6638';0
'HMR_6641';0
'HMR_6642';0
'HMR_6644';0
'HMR_6648';0
'HMR_6649';0
'HMR_6650';0
'HMR_6651';0
'HMR_6654';0
'HMR_6655';0
'HMR_6656';0
'HMR_6657';0
'HMR_6658';0
'HMR_6659';0
'HMR_6660';0
'HMR_6661';0
'HMR_6662';0
'HMR_6664';0
'HMR_6665';0
'HMR_6668';0
'HMR_6669';0
'HMR_6673';0
'HMR_6675';0
'HMR_6677';0
'HMR_6678';0
'HMR_6682';0
'HMR_6687';0
'HMR_6690';0
'HMR_6691';0
'HMR_6692';0
'HMR_6693';0
'HMR_6700';0
'HMR_6701';0
'HMR_6702';0
'HMR_6703';0
'HMR_6725';0
'HMR_6916';0.341369022979466
'HMR_6918';0
'HMR_6921';0
'HMR_7144';0.0569794507083424
'HMR_7160';0
'HMR_7161';0
'HMR_7282';1
'HMR_7638';0
'HMR_7663';0
'HMR_7717';0
'HMR_7719';0
'HMR_7735';0
'HMR_7745';0.171681126500168
'HMR_7746';0.171681126500168
'HMR_7747';0.254493869476988
'HMR_7748';0.973580555258197
'HMR_7749';0.973580555258197
'HMR_7771';1
'HMR_7778';0
'HMR_7780';0
'HMR_7786';1
'HMR_7792';1
'HMR_7800';7,90E+08
'HMR_7815';0
'HMR_7867';0
'HMR_7875';0
'HMR_7883';0
'HMR_7898';0.0963615676715651
'HMR_7905';0.0569794507083424
'HMR_8009';0
'HMR_8010';0
'HMR_8132';0
'HMR_8144';0
'HMR_8357';1
'HMR_8360';1
'HMR_8408';0.365030756056556
'HMR_8410';0
'HMR_8425';1
'HMR_8443';0.0313318114346974
'HMR_8464';1
'HMR_8475';0
'HMR_8477';0
'HMR_8486';4,85E+08
'HMR_8488';0
'HMR_8489';0.0963615676715651
'HMR_8519';1
'HMR_8566';0
'HMR_8571';1
'HMR_8573';1
'HMR_8584';1
'HMR_8589';1
'HMR_8612';0
'HMR_8613';0
'HMR_8614';0
'HMR_8615';0
'HMR_8616';0
'HMR_8617';0
'HMR_8639';0
'HMR_8676';0.236466464477581
'HMR_8698';0
'HMR_8702';0
'HMR_8722';0
'HMR_8767';1,76E+09
'HMR_8891';0
'HMR_9034';0
'HMR_9038';0
'HMR_9039';0
'HMR_9042';0
'HMR_9043';0
'HMR_9044';0
'HMR_9045';0
'HMR_9046';0
'HMR_9048';0.397864229252925
'HMR_9051';0
'HMR_9055';0
'HMR_9062';0
'HMR_9063';0
'HMR_9064';0
'HMR_9067';0
'HMR_9068';0
'HMR_9069';0
'HMR_9072';0.0373695764995403
'HMR_9074';1
'HMR_9078';0
'HMR_9085';0
'HMR_9103';0
'HMR_9107';0
'HMR_9108';0
'HMR_9110';0
'HMR_9133';0
'HMR_9135';0
'HMR_9141';0.0569794507083424
'HMR_9146';0
'HMR_9147';0
'HMR_9152';0
'HMR_9154';0
'HMR_9155';0.0963615676715651
'HMR_9159';0
'HMR_9167';0
'HMR_9173';0
'HMR_9183';0.0313318114346974
'HMR_9189';0
'HMR_9215';0
'HMR_9235';0
'HMR_9242';0
'HMR_9253';1,37E+08
'HMR_9254';0
'HMR_9262';0
'HMR_9269';0
'HMR_9271';0
'HMR_9273';0
'HMR_9285';0
'HMR_9290';0.0861158340546363
'HMR_9292';0.236466464477581
'HMR_9297';0
'HMR_9348';0
'HMR_9351';0
'HMR_9354';0.365030756056556
'HMR_9358';0.0963615687758666
'HMR_9362';1
'HMR_9372';0
'HMR_9378';0
'HMR_9383';0.344035546450632
'HMR_9389';1
'HMR_9404';0
'HMR_9406';1
