reaction;J
'HMR_9189';0.119500536668889
'HMR_9215';0
'HMR_9235';0.508010410938916
'HMR_9242';4.64948554783638e-07
'HMR_9253';1.01115391744768e-07
'HMR_9254';1.01115304133796e-07
'HMR_9269';0
'HMR_9271';0
'HMR_9273';0
'HMR_9285';0
'HMR_9290';1
'HMR_9292';0
'HMR_9348';0
'HMR_9351';0
'HMR_9354';0.814125432099103
'HMR_9358';0.338084006452825
'HMR_9372';0.735596072123834
'HMR_9378';0
'HMR_9383';0.984588839995872
'HMR_9404';0
'HMR_9406';1
'HMR_9418';3.38630096484458e-08
'HMR_9421';0.508010410938916
'HMR_9422';0
'HMR_9437';2.52925842856348e-07
'HMR_9440';2.63618875226773e-07
'HMR_9450';0.898660315811283
'HMR_9456';1.01115314146478e-07
'HMR_9463';0.119500536668889
'HMR_9608';0
'HMR_9617';0
'HMR_9641';8.96853538184561e-08
'HMR_9691';0
'HMR_9728';0
'HMR_9729';0
'HMR_9809';0.878009872111948
'HXAt3';2.98759928331748e-12
'HXCOAc';2.98759928331748e-12
'HXCOAte';0
'HXCOAx';1
'LNLCCRNtr';1
'LPCHOLt';0
'LYSARGLEUr';0
'LYSARGLEUt';0
'METB0AT3tc';0
'MLTHFte3';9.09737387663737e-07
'NAHCO3_HCLt';0.211156644643933
'NH4t3r';0.216573331731874
'NMNATr';0
'NWHARGtd';0.224517857997706
'ODECRNte';0
'OROT5Ptr';0
'PAIL_hs_t1e';0
'PCREATte';1
'PCRNte';0
'PEPtr';0.228765902050793
'PEt';0
'PGLYCt';0
'PGLYCtm';0
'PGLc';0.438627953454238
'PIt8';0.557236882042377
'PPItm';0
'PSERtr';0
'PSt3';0
'PYRSMCT1';0.291477967674542
'RE1905C';0
'RE2675C';0
'RPEc';0.610391608947706
'SPHGNte';0
'SUBERCACT';1
'TAURCHAe';3.38630096484458e-08
'THBPTt';0
'THMt3';0
'TYRB0AT3tc';0
'UGT1A10r';0
'XMPtr';0.898660315811283
'XOLEST2te';0
'XYLUDte';0.537695815204445
'biomass_human';0
'q10tm';0
'r0193';0.689350051472177
'r0707';0.221863522600147
'r0941';0
'r1147';0
'r1400';0
'r1423';0.618283230045140
'r1433';2.37027419758948e-07
'r2377';0
